Context,Question,Chosen_Strategy,Model_Reason
"Hầu hết trẻ bị động kinh vắng ý thức không gây ra biến chứng. Tuy nhiên, ở một số trẻ: - Phải dùng thuốc chống động kinh suốt đời để ngăn chặn cơn động kinh.
- Diễn tiến đến co giật toàn bộ, như động kinh co cứng – co giật. Các biến chứng khác có thể bao gồm: - Khó khăn trong học tập.
- Các vấn đề về hành vi.
- Tách biệt với xã hội.",Sử dụng thuốc chống động kinh suốt đời là cần thiết trong trường hợp nào?,COMPLEX,"To answer the question, we need to extract information from the context that specifies the cases where using anti-seizure medication for life is necessary. This requires combining information from multiple parts of the context, especially since the"
#NAME?,Làm gì để có thể cải thiện chức năng sinh hoạt của người bệnh?,COMPLEX,"To answer the question, we need to combine information from multiple parts of the context, especially since the question is asking about various ways to improve a person's functional abilities. This requires synthesizing information from different types of"
"Bisoloc được chỉ định trong một số trường hợp: - Tăng huyết áp.
- Đau thắt ngực.
- Suy tim mạn ổn định, từ vừa đến nặng, kèm giảm chức năng tâm thu thất trái đã được điều trị cùng với các thuốc ức chế enzym chuyển, lợi tiểu, và với glycosid trợ tim. Chỉ định này do thầy thuốc chuyên khoa quyết định Bạn nên nhớ đây là thuốc bán theo đơn và chỉ được sử dụng khi có chỉ dẫn của bác sĩ.",Trong trường hợp nào thì Bisoloc được sử dụng để điều trị suy tim?,COMPLEX,"To answer the question, we need to extract the relevant information from the context that specifies the conditions for using Bisoloc, which is not a direct fact but requires combining information from multiple parts of the context."
"Thay đổi lối sống. Cũng như các loại khớp khác thì ban đầu sẽ không có can thiệp phẫu thuật. Bằng cách thay đổi lối sống, khớp háng sẽ được bảo vệ hơn và làm chậm đi quá trình thoái hóa khớp. - Giảm thiểu các hoạt động làm nặng thêm tình trạng bệnh, ví dụ như leo cầu thang
- Chuyển từ các hoạt động va chạm nhiều (như đi bộ, đánh tennis) sang các hoạt động nhẹ nhàng hơn (như bơi lội, đạp xe). Điều này làm giảm đi sức ép lên khớp háng.
- Giảm cân cũng góp phần giảm sức ép lên khớp háng. Giảm cân giúp giảm đau và cải thiện chức năng của khớp. Vật lý trị liệu: Những bài tập đặc biệt có thể tăng khả năng vận động và độ dẻo dai, cũng như tăng cường sức mạnh của cơ ở chân và háng. Thuốc: Nếu các cơn đau ảnh hưởng đến sinh hoạt hàng ngày, hoặc đau không giảm sau khi sử dụng các biện pháp trên thì thầy thuốc có thể kê cho bạn một số thuốc giúp giảm đau và hạn chế quá trình viêm.",Vật lý trị liệu có vai trò gì trong điều trị thoái hóa khớp háng?,COMPLEX,"To answer the question, we need to extract information about the role of physical therapy from the given context, which involves combining information from multiple parts of the text."
"Lá rau ngót tươi rửa sạch giã nát, vắt lấy nước trộn với mật ong. Lấy gạc chấm vào hỗn hợp trên rồi bôi đều lên lưỡi ngày 3- 4 lần.",Rau ngót được sử dụng để chữa bệnh gì?,SIMPLE,"The answer can be directly extracted from the given instructions, which state that rau ngót is used to treat a specific condition."
"- Giai đoạn 1A: Khối u nguyên phát rộng từ 2 cm trở xuống và các hạch bạch huyết không bị ảnh hưởng.
- Giai đoạn 1B: Ung thư được tìm thấy trong các hạch bạch huyết gần đó và không có khối u ở vú hoặc khối u nhỏ hơn 2 cm.",Giai đoạn 1B của ung thư vú có đặc điểm gì?,COMPLEX,"To answer the question, we need to combine information from both Giai đoạn 1A and Giai đoạn 1B to understand the specific characteristics of Giai đoạn 1B of breast cancer"
"Nếu bạn gặp bất kỳ điều gì bất thường ở vùng xương chậu, chẳng hạn như chảy máu giữa kì kinh hoặc đau bụng dưới không rõ nguyên nhân, hoặc các biểu hiện đã nêu ở phần trên, hãy hẹn gặp bác sĩ. Nếu không được điều trị, một số tình trạng vùng chậu có thể ảnh hưởng lâu dài đến sức khỏe và khả năng sinh sản của bạn. Vùng chậu chứa nhiều cơ quan quan trọng, đặc biệt là các cơ quan sinh sản. Chăm sóc giữ gìn, đặc biệt nhận biết các bất thường liên quan đến vùng chậu là cách để bảo vệ sức khỏe sinh sản bản thân.",Tại sao nên chăm sóc sức khỏe vùng chậu?,COMPLEX,"To answer the question, we need to synthesize information from the entire context, particularly the reasons provided for why it's important to care for the pelvic area. This requires understanding the context as a whole rather than extracting"
"Thoát vị đĩa đệm không phải lúc nào cũng có triệu chứng. Mặc khác, các triệu chứng phổ biến nhất là tê, đau hoặc giảm cảm giác lan dọc xuống chân một bên hoặc hai bên. Những triệu chứng này ảnh hưởng đến các phần khác nhau của chân, tùy thuộc tầng đĩa đệm bị thoát vị. - Khởi phát đau lưng. Người bệnh có thể cảm thấy đau tỏa ra từ vùng lưng dưới.
- Khi đau lan dọc xuống chân thì đau lưng giảm.
- Đau lan xuống mông, đùi, cẳng chân; giảm đau với tư thế gập háng & gập gối. Người bệnh phải thay đổi tư thế mỗi 10-20 phút.
- Hiệu ứng ho (Cough effect): 87% tăng đau khi ho, hắt hơi, nhảy mũi, rặn đi đại tiện.
- Triệu chứng bàng quang (1-18%): Lúc đầu Bàng quang giảm cảm giác là dấu hiệu có sớm như khó đi tiểu, tiểu rặn, tiểu còn tồn đọng nước tiểu. Về sau, thường thấy có triệu chứng “kích thích” như mắc tiểu không nhịn lâu được (urinary urgency), tiểu nhiều lần (không bao gồm tiểu đêm). Bí tiểu liên quan đến chèn ép chùm rễ thần kinh đuôi ngựa.","Trong trường hợp bị thoát vị đĩa đệm cột sống thắt lưng, khi nào cơn đau lưng giảm?",COMPLEX,"To answer the question, we need to understand the information provided about the symptoms and their progression, particularly the mention that ""When the pain runs down the leg, the back pain decreases."" This requires interpreting the context information"
"Dựa trên các nghiên cứu hiện có, liều lượng an toàn của sâm tố nữ bổ sung trong chế độ ăn uống cho người là 1-2 mg/kg thể trọng/ngày hoặc khoảng 50-100 mg/ngày.4 Lưu ý: sử dụng liều cao hơn 200 mg/kg thể trọng/ngày gây tăng sinh tế bào trong tuyến vú. Nếu dùng trong thời gian ngắn có thể tăng trọng lượng tử cung, giãn nở, xuất huyết và viêm thành tử cung. Nếu dùng liều này kéo dài có thể sinh ung thư nội mạc tử cung, tuyến vú. Vì vậy, liều lượng tối ưu cho mục đích sử dụng cần được tính toán trước để tránh tác dụng phụ không mong muốn.","Để tránh tác dụng phụ không mong muốn, liều lượng tối ưu cho mục đích sử dụng sâm tố nữ cần được xác định như thế nào?",COMPLEX,"To answer the question, we need to extract the information about the optimal dosage that avoids side effects from the long and complex context provided. This requires understanding the context and identifying the key information about the safe and effective usage"
"Dùng thuốc Acritel quá liều gây ảnh hưởng đến hệ thần kinh trung ương hoặc tác dụng kháng cholinergic. Tác dụng không mong muốn ghi nhận bao gồm: lú lẫn, chóng mặt, giãn đồng tử, ngứa, bồn chồn, buồn ngủ, nhịp tim nhanh, bí tiểu,… Hiện không có thuốc giải độc đặc hiệu khi sử dụng thuốc Acritel quá liều. Cần báo ngay cho cơ sở y tế địa phương, hoặc bác sĩ hoặc sĩ ngay khi phát hiện tình trạng sử dụng thuốc quá liều để kịp thời xử lý.","Trong trường hợp sử dụng thuốc Acritel quá liều, cần phải làm gì?",COMPLEX,"The question requires understanding the consequences of using Acritel in excess and the appropriate actions to take in such a situation, which involves interpreting the information provided in the context."
"Là thời gian từ lúc phẩy khuẩn tả xâm nhập cơ thể đến khi có các triệu chứng đầu tiên. Đây là lúc vi khuẩn sinh sôi phát triển, tích lũy độc tố trong cơ thể. Thời kỳ ủ bệnh của tả không có triệu chứng. Thường kéo dài từ 6 – 48 giờ, tối đa 5 ngày. Dù chưa có biểu hiện, thời kỳ này mầm bệnh vẫn có thể phát tán và lây lan.",Thời kỳ ủ bệnh tả có thể kéo dài đến bao nhiêu ngày?,COMPLEX,"The question requires combining information from the Context to determine the maximum duration of the incubation period for dengue, which is not explicitly stated as ""tay"" (typhoid) in the given context."
"Khoảng 7% khối U thần kinh nội tiết được tìm thấy trong tuyến tụy (ung thư tế bào đảo). Tuyến tụy là cơ quan vừa nội tiết và ngoại tiết. Nó tiết dịch tiêu hóa ( ngoại tiết ), giúp cho quá trình tiêu hóa và hấp thụ thức ăn. Ngoài ra tụy còn tiết hormon điều hòa quá trình tiêu hóa và kiểm soát đường huyết (nội tiết). ",Tỷ lệ khối u thần kinh nội tiết được tìm thấy trong tuyến tụy là bao nhiêu?,SIMPLE,"""Khoảng 7% khối U thần kinh nội tiết được tìm thấy trong tuyến tụy (ung thư tế bào đảo).""

This is a straightforward"
"Rễ, lá, cành non Cơm rượu, mỗi thứ 40g, sao qua, tán nhỏ rồi sắc đặc uống vào lúc đói, ngày 3 lần. Khi uống thêm 30ml rượu trắng.",Cơm rượu được dùng trong bài thuốc nào?,SIMPLE,"The answer can be directly extracted from the context, which states ""Rễ, lá, cành non Cơm rượu, mỗi thứ 40g, sao qua, tán nhỏ rồi sắc đặc uống vào lúc"
#NAME?,Có những loại thuốc nào có khả năng làm trầm trọng hơn tình trạng chảy máu khi sử dụng chung với Clopias?,SIMPLE,"""Tương tác với các thuốc có nguy cơ gây chảy máu, thuốc chống đông dạng uống, heparin sẽ làm trầm trọng hơn tình"
